Timestamp;Company;shape;Accept
2023-08-17 00:12:46;AAPL;(395, 14);Yes
2023-08-17 00:12:48;MSFT;(395, 14);Yes
2023-08-17 00:12:50;GOOG;(395, 14);Yes
2023-08-17 00:12:51;GOOGL;(395, 14);Yes
2023-08-17 00:12:54;AMZN;(395, 14);Yes
2023-08-17 00:12:55;NVDA;(395, 14);Yes
2023-08-17 00:12:57;META;(395, 14);Yes
