timestamp;status_code;length;Ticker;Offset
2023-08-17 10:22:58;200;3055;AAPL;0
2023-08-17 10:23:03;200;708;MSFT;0
2023-08-17 10:23:06;200;7166;GOOG;0
2023-08-17 10:23:08;200;995;GOOGL;0
2023-08-17 10:23:11;200;5689;AMZN;0
2023-08-17 10:23:12;200;539;NVDA;0
2023-08-17 10:23:13;200;9016;META;0
2023-08-17 10:23:16;200;961;TSLA;0
2023-08-17 10:23:17;200;507;AVGO;0
2023-08-17 10:23:19;200;685;PEP;0
2023-08-17 10:23:20;200;507;COST;0
2023-08-17 10:23:21;200;5695;ADBE;0
2023-08-17 10:23:23;200;2117;CSCO;0
2023-08-17 10:23:24;200;4213;CMCSA;0
2023-08-17 10:23:25;200;3150;NFLX;0
2023-08-17 10:23:28;200;769;AMD;0
2023-08-17 10:23:29;200;3583;TMUS;0
2023-08-17 10:23:30;200;9847;TXN;0
2023-08-17 10:23:32;200;3114;INTC;0
2023-08-17 10:23:33;200;954;INTU;0
2023-08-17 10:23:34;200;708;AMGN;0
2023-08-17 10:23:36;200;5333;QCOM;0
2023-08-17 10:23:37;200;2139;HON;0
2023-08-17 10:23:39;200;602;AMAT;0
2023-08-17 10:23:41;200;6644;SBUX;0
2023-08-17 10:23:42;200;4876;BKNG;0
2023-08-17 10:23:44;200;3490;ISRG;0
2023-08-17 10:23:45;200;7429;ADP;0
2023-08-17 10:23:46;200;10736;MDLZ;0
2023-08-17 10:23:48;200;16728;GILD;0
2023-08-17 10:23:49;200;8045;ADI;0
2023-08-17 10:23:50;200;431;VRTX;0
2023-08-17 10:23:52;200;3506;LRCX;0
2023-08-17 10:23:53;200;6132;REGN;0
2023-08-17 10:23:55;200;878;ABNB;0
2023-08-17 10:23:56;200;2933;MU;0
2023-08-17 10:23:57;200;3101;CME;0
2023-08-17 10:23:59;200;8155;EQIX;0
2023-08-17 10:24:00;200;4124;ATVI;0
2023-08-17 10:24:02;200;464;PYPL;0
2023-08-17 10:24:03;200;4749;KLAC;0
2023-08-17 10:24:04;200;9016;PANW;0
2023-08-17 10:24:06;200;4168;SNPS;0
2023-08-17 10:24:07;200;5947;CHTR;0
2023-08-17 10:24:08;200;3805;CDNS;0
2023-08-17 10:24:10;200;7247;CSX;0
2023-08-17 10:24:11;200;9336;MNST;0
2023-08-17 10:24:13;200;2002;MAR;0
2023-08-17 10:24:14;200;527;WDAY;0
2023-08-17 10:24:15;200;4386;ORLY;0
2023-08-17 10:24:17;200;1528;ROP;0
2023-08-17 10:24:18;200;5453;CTAS;0
2023-08-17 10:24:19;200;3650;KDP;0
2023-08-17 10:24:21;200;6047;FTNT;0
2023-08-17 10:24:22;200;3526;ODFL;0
2023-08-17 10:24:23;200;2289;MCHP;0
2023-08-17 10:24:24;200;4507;ADSK;0
2023-08-17 10:24:26;200;2451;PAYX;0
2023-08-17 10:24:27;200;3459;PCAR;0
2023-08-17 10:24:28;200;16728;DXCM;0
2023-08-17 10:24:29;200;5384;CPRT;0
2023-08-17 10:24:30;200;6030;IDXX;0
2023-08-17 10:24:31;200;3630;KHC;0
2023-08-17 10:24:33;200;5065;ON;0
2023-08-17 10:24:34;200;10014;AEP;0
2023-08-17 10:24:35;200;9325;MRVL;0
2023-08-17 10:24:36;200;6117;EXC;0
2023-08-17 10:24:37;200;5248;ROST;0
2023-08-17 10:24:39;200;804;BIIB;0
2023-08-17 10:24:40;200;1791;FWONK;0
2023-08-17 10:24:42;200;2561;MRNA;0
2023-08-17 10:24:43;200;11637;TTD;0
2023-08-17 10:24:44;200;5168;SGEN;0
2023-08-17 10:24:45;200;4137;CRWD;0
2023-08-17 10:24:46;200;4122;CTSH;0
2023-08-17 10:24:48;200;3812;BKR;0
2023-08-17 10:24:49;200;1791;FWONA;0
2023-08-17 10:24:50;200;7402;CEG;0
2023-08-17 10:24:52;200;2118;VRSK;0
2023-08-17 10:24:53;200;1938;EA;0
2023-08-17 10:24:54;200;3127;CSGP;0
2023-08-17 10:24:55;200;9973;FAST;0
2023-08-17 10:24:56;200;2379;WBD;0
2023-08-17 10:24:57;200;2575;XEL;0
